RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description
1538,HV module noise test,06/18/2010,20000,~,pedestal,period,0,0,0,0,0,0,4,?,0,NULL,0,~,NULL,0,0,~,"HV on of all channel to 1200V including 6 2 "" PMT",HV module test for decoupler 2 and HV module 2
1539,test,06/18/2010,~,~,~,~,~,~,~,~,~,~,~,?,~,~,~,~,~,~,~,~,DAQ debug,DAQ debug
1540,test,06/18/2010,~,~,~,~,~,~,~,~,~,~,~,?,~,~,~,~,~,~,~,~,DAQ debug,DAQ debug
1541,test,06/18/2010,~,~,~,~,~,~,~,~,~,~,~,?,~,~,~,~,~,~,~,~,DAQ debug,DAQ debug
1542,test,06/18/2010,~,~,~,~,~,~,~,~,~,~,~,?,~,~,~,~,~,~,~,~,DAQ debug,DAQ debug
1543,test,06/18/2010,~,~,~,~,~,~,~,~,~,~,~,?,~,~,~,~,~,~,~,~,DAQ debug,DAQ debug
1544,test,06/18/2010,~,~,~,~,~,~,~,~,~,~,~,?,~,~,~,~,~,~,~,~,DAQ debug,DAQ debug
1545,test,06/18/2010,20000,~,pedestal,period,~,~,~,~,~,~,~,?,~,~,~,~,~,~,~,~,test,
1546,HV module noise test,06/18/2010,12516,20,physics,Nhit,20,~,~,~,~,750,~,1200,~,~,~,~,~,~,~,~,"HV on of all channel to 1200V including 6 2 "" PMT",
1547,HV test,06/18/2010,71390,2000,physics,Nhit,20,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,
1548,HV test,06/18/2010,50000,2000,physics,Nhit,40,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,
1549,HV test,06/18/2010,17415,600,physics,Nhit,60,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,
1550,HV test,06/18/2010,20000,~,pedestal,period,~,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,
1551,DAQ test,06/18/2010,~,~,~,~,~,~,~,~,~,~,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,DAQ debug
1552,DAQ test,06/18/2010,~,~,~,~,~,~,~,~,~,~,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,DAQ debug
1553,DAQ test,06/18/2010,~,~,~,~,~,~,~,~,~,~,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,DAQ debug
1554,DAQ test,06/18/2010,~,~,~,~,~,~,~,~,~,~,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,DAQ debug
1555,DAQ test,06/18/2010,~,~,~,~,~,~,~,~,~,~,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,DAQ debug
1556,DAQ test,06/18/2010,~,~,~,~,~,~,~,~,~,~,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,DAQ debug
