RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description,,,,
5485,Trigger threshold scan with muon + noise,9/21/10,,130,Physics,Npmt,85,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e49"
5486,Trigger threshold scan with muon + noise,9/21/10,,65,Physics,Npmt,100,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e48"
5487,Trigger threshold scan with muon + noise,9/21/10,,35,Physics,Npmt,115,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e47"
5488,Trigger threshold scan with muon + noise,9/21/10,,18,Physics,Npmt,130,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e46"
5489,Trigger threshold scan with muon + noise,9/21/10,,4,Physics,Npmt,160,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e45"
5490,Trigger threshold scan with muon + noise,9/21/10,,0,Physics,Npmt,190,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e44"
5491,Long (>1hr) DAQ stability run with muon + noise,9/21/10,1hour,1650,Physics,Npmt,40,35,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Stability run ,,,,"not the defualt HV for 2e7 from DGUT, just around 2e43"
5492,Trigger threshold scan with muon + noise,9/21/10,1minute,3450,Physics,totalESum,~,5,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e42"
5493,Trigger threshold scan with muon + noise,9/21/10,1minute,3330,Physics,totalESum,~,10,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e41"
5494,Trigger threshold scan with muon + noise,9/21/10,1minute,3200,Physics,totalESum,~,15,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e40"
5495,Trigger threshold scan with muon + noise,9/21/10,1minute,3200,Physics,totalESum,~,20,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e39"
5496,Trigger threshold scan with muon + noise,9/21/10,1minute,2700,Physics,totalESum,~,25,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e38"
5497,Trigger threshold scan with muon + noise,9/21/10,1minute,2030,Physics,totalESum,~,30,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e37"
5498,Trigger threshold scan with muon + noise,9/21/10,1minute,1470,Physics,totalESum,~,35,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e36"
5499,Trigger threshold scan with muon + noise,9/21/10,1minute,1080,Physics,totalESum,~,40,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e35"
5500,Trigger threshold scan with muon + noise,9/21/10,1minute,850,Physics,totalESum,~,45,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e34"
5501,Trigger threshold scan with muon + noise,9/21/10,1minute,650,Physics,totalESum,~,50,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e33"
5502,Trigger threshold scan with muon + noise,9/21/10,1minute,415,Physics,totalESum,~,60,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e32"
5503,Trigger threshold scan with muon + noise,9/21/10,1minute,290,Physics,totalESum,~,70,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e31"
5504,Trigger threshold scan with muon + noise,9/21/10,1minute,205,Physics,totalESum,~,80,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e30"
5505,Trigger threshold scan with muon + noise,9/21/10,1minute,155,Physics,totalESum,~,90,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e29"
5506,Trigger threshold scan with muon + noise,9/21/10,1minute,120,Physics,totalESum,~,100,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e28"
5507,Trigger threshold scan with muon + noise,9/21/10,1minute,75,Physics,totalESum,~,120,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e27"
5508,Trigger threshold scan with muon + noise,9/21/10,1minute,37,Physics,totalESum,~,150,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e26"
5509,Trigger threshold scan with muon + noise,9/21/10,1minute,22,Physics,totalESum,~,180,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e25"
5510,Trigger threshold scan with muon + noise,9/21/10,1minute,16,Physics,totalESum,~,200,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e24"
5511,Trigger threshold scan with muon + noise,9/21/10,1minute,11,Physics,totalESum,~,230,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e23"
5512,Trigger threshold scan with muon + noise,9/21/10,1minute,6,Physics,totalESum,~,280,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e22"
5513,Trigger threshold scan with muon + noise,9/21/10,1minute,3,Physics,totalESum,~,350,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e21"
5514,ACU B LED intensity scan / PMT gain calibration,9/21/10,150000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-6.8,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e20"
5515,ACU B LED intensity scan / PMT gain calibration,9/21/10,150000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-6.85,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e19"
5516,ACU B LED intensity scan / PMT gain calibration,9/21/10,150000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-6.9,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e18"
5517,ACU B LED intensity scan / PMT gain calibration,9/21/10,150000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-6.95,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e17"
