RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description,,
6599,dark AD,10/28/2010,,2000,Physics,Npmt,0,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6600,dark AD,10/28/2010,,1940,Physics,Npmt,1,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6601,dark AD,10/28/2010,,1830,Physics,Npmt,2,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6602,dark AD,10/28/2010,,1680,Physics,Npmt,3,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6603,dark AD,10/28/2010,,1510,Physics,Npmt,4,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6604,dark AD,10/28/2010,,1390,Physics,Npmt,5,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6605,dark AD,10/28/2010,,1270,Physics,Npmt,7,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6606,dark AD,10/28/2010,,1240,Physics,Npmt,10,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6607,dark AD,10/28/2010,,1210,Physics,Npmt,15,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6608,dark AD,10/28/2010,,1160,Physics,Npmt,20,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6609,dark AD,10/28/2010,,1160,Physics,Npmt,30,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6610,dark AD,10/28/2010,,750,Physics,Npmt,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
