RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,MuCalLED status,MuCalLED: voltage/V,MuCalLED: frequency/ Hz,Comments,Description,,
6838,muCalLED test,1/19/11,~,817,physics,totalESum+Nhit,8,25,~,~,~,350,5,1.00E+07,LED11,-7.5,100,~,PMT like signal input to slot 15 channel 21,,
6839,muCalLED test,1/19/11,~,816,physics,totalESum+Nhit,8,25,~,~,~,350,5,1.00E+07,LED12,-7.5,100,~,PMT like signal input to slot 15 channel 21,,
6840,muCalLED test,1/19/11,~,816,physics,totalESum+Nhit,8,25,~,~,~,350,5,1.00E+07,LED13,-7.5,100,~,PMT like signal input to slot 15 channel 21,,
6841,muCalLED test: ?,1/19/11,~,816,physics,totalESum+Nhit,8,25,~,~,~,350,5,1.00E+07,LED21,-7.5,100,~,PMT like signal input to slot 15 channel 21,,
6842,muCalLED test:?,1/19/11,~,816,physics,totalESum+Nhit,8,25,~,~,~,350,5,1.00E+07,LED22,-7.5,100,~,PMT like signal input to slot 15 channel 21,,
6843,muCalLED test:?,1/19/11,~,816,physics,totalESum+Nhit,8,25,~,~,~,350,5,1.00E+07,LED23,-7.5,100,~,PMT like signal input to slot 15 channel 21,,
,,,,,,,,,,,,,,,,,,,,,
6844,wall A+B outer: gain,1/20/11,~,0~94,physics,totalESum+Nhit,8,25,~,~,~,350,5,1.00E+07,in sequence, -7.5 ~ -11.5,100,"2min/LED, 5s separation",PMT like signal input to slot 15 channel 21,DVIA41 (slot9 channel 13 HV change to 1200V from 1582V),17 LEDs flashing in sequence
6845,wall A+B outer: timing ?,1/20/11,~,200~294,physics,totalESum+Nhit,8,25,~,~,200,350,5,1.00E+07,in sequence,-11.5,100,"2min/LED, 5s separation",PMT like signal input to slot 15 channel 21,DVIA41 (slot9 channel 13 HV change to 1200V from 1582V),17 LEDs flashing in sequence
6846,wall A+B outer: timing ?,1/20/11,~,200~1180,physics,totalESum+Nhit,8,25,~,~,200,350,5,1.00E+07,in sequence,-11.5,100,"2min/LED, 5s separation",PMT like signal input to slot 15 channel 21,DVIA41 (slot9 channel 13 HV change to 1200V from 1582V),17 LEDs flashing in sequence
6847,wall A+B outer: timing ?,1/20/11,~,200~1180,physics,totalESum+Nhit,8,25,~,~,200,350,5,1.00E+07,in sequence,-11.5,100,"2min/LED, 5s separation",PMT like signal input to slot 15 channel 21,DVIA41 (slot9 channel 13 HV change to 1200V from 1582V),17 LEDs flashing in sequence
6848,pedestal,1/20/11,~,200,pedestal,period,~,~,~,~,200,0,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6849,pedestal,1/20/11,~,200,pedestal,period,~,~,~,~,200,0,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6850,wall A+B outer: timing,1/20/11,~,200~800,physics,totalESum+Nhit,8,25,~,~,200,350,5,2.00E+07,in sequence,-11.5,100,"2min/LED, 5s separation",PMT like signal input to slot 15 channel 21,,17 LEDs flashing in sequence
6851,wall A+B outer: gain,1/20/11,~,200~800,physics,totalESum+Nhit,8,25,~,~,200,350,5,2.00E+07,in sequence,-11.5,200,"1min/LED, 5s separation",PMT like signal input to slot 15 channel 21,,17 LEDs flashing in sequence
6852,pedestal,1/20/11,~,200,pedestal,period,~,~,~,~,200,0,5,2.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6853,wall C+D outer: pedestal,1/20/11,~,200,pedestal,period,~,~,~,~,200,0,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6854,wall C+D outer: gain,1/20/11,~,200~800,physics,totalESum+Nhit,8,25,~,~,200,350,5,1.00E+07,in sequence,-11.5,200,"1min/LED, 5s separation",PMT like signal input to slot 15 channel 21,,17 LEDs flashing in sequence
6855,wall C+D outer: timing,1/20/11,~,200~800,physics,totalESum+Nhit,8,25,~,~,200,350,5,1.00E+07,in sequence,-11.5,40,"30s/LED, 5s separation",PMT like signal input to slot 15 channel 21,17:50 HV increase and down temporary,17 LEDs flashing in sequence
6856,wall C+D outer: pedestal,1/20/11,~,200,pedestal,period,~,~,~,~,200,0,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
,,,,,,,,,,,,,,,,,,,,,
6857,wall C+D outer: pedestal,1/21/11,~,1000,pedestal,period,~,~,~,~,1000,0,5,2.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6858,wall C+D outer: timing,1/21/11,~,200~1800,physics,totalESum+Nhit,8,25,~,~,200,350,5,2.00E+07,in sequence,-11.5,200,"30s/LED, 5s separation",PMT like signal input to slot 15 channel 21,,17 LEDs flashing in sequence
6859,wall C+D outer: gain,1/21/11,~,200~800,physics,totalESum+Nhit,8,25,~,~,200,350,5,2.00E+07,in sequence,7.5 ~ -11.5,200,"1min/LED, 5s separation",PMT like signal input to slot 15 channel 21,17:50 HV increase and down temporary,17 LEDs flashing in sequence
6860,wall C+D outer: pedestal,1/21/11,~,1000,pedestal,period,~,~,~,~,1000,0,5,2.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6861,wall A + B inner: pedestal,1/21/11,~,1000,pedestal,period,~,~,~,~,1000,0,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6862,wall A + B inner: pedestal ?,1/21/11,~,1000,pedestal,period,~,~,~,~,1000,0,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6863,wall A + B inner: gain,1/21/11,~,200~550,physics,totalESum+Nhit,8,25,~,~,200,350,5,1.00E+07,in sequence,-11.5,200,"30s/LED, 5s separation",PMT like signal input to slot 15 channel 21,,17 LEDs flashing in sequence
6864,wall A + B inner: pedestal,1/21/11,~,1000,pedestal,period,~,~,~,~,1000,0,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6865,wall A + B inner: gain,1/21/11,~,200~550,physics,totalESum+Nhit,8,25,~,~,200,350,5,1.00E+07,in sequence,-11.5,200,"30s/LED, 5s separation",PMT like signal input to slot 15 channel 21,,17 LEDs flashing in sequence
6866,wall A + B inner: pedestal,1/21/11,~,1000,pedestal,period,~,~,~,~,1000,0,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6867,wall E + H : pedestal,1/21/11,~,1000,pedestal,period,~,~,~,~,1000,0,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6868,wall E + H : gain,1/21/11,~,1000,physics,totalESum+Nhit,8,25,~,~,1000,350,5,1.00E+07,in sequence,-11.5,200,"30s/LED, 5s separation",PMT like signal input to slot 15 channel 21,,17 LEDs flashing in sequence
6869,wall E + H : gain,1/21/11,~,200~1000,physics,totalESum+Nhit,8,25,~,~,200,350,5,1.00E+07,in sequence,-11.5,200,"30s/LED, 5s separation",PMT like signal input to slot 15 channel 21,,17 LEDs flashing in sequence
6870,wall E + H : pedestal,1/21/11,~,1000,pedestal,period,~,~,~,~,1000,0,5,2.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 21,,
6871,wall E + H : gain,1/21/11,~,1000,physics,totalESum+Nhit,8,25,~,~,200,350,5,2.00E+07,in sequence,-11.5,200,"30s/LED, 5s separation",PMT like signal input to slot 15 channel 21,,17 LEDs flashing in sequence
,,,,,,,,,,,,,,,,,,,,,
