RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description
6901,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1470,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-5.1,~,~,~,~,~,without FADC,LED not flashing
6902,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1500,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-5.2,~,~,~,~,~,without FADC,LED not flashing
6903,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1470,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-5.3,~,~,~,~,~,without FADC,LED not flashing
6904,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1520,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-5.4,~,~,~,~,~,without FADC,LED not flashing
6905,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1480,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-5.5,~,~,~,~,~,without FADC,LED not flashing
6906,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1460,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-5.6,~,~,~,~,~,without FADC,LED not flashing
6907,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1440,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-5.8,~,~,~,~,~,without FADC,LED not flashing
6908,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1420,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-6,~,~,~,~,~,without FADC,LED not flashing
6909,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1425,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-6.2,~,~,~,~,~,without FADC,LED not flashing
6910,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1440,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-6.4,~,~,~,~,~,without FADC,LED not flashing
6911,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1405,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-6.6,~,~,~,~,~,without FADC,LED not flashing
6912,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1400,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-6.8,~,~,~,~,~,without FADC,LED not flashing
6913,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1430,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-7,~,~,~,~,~,without FADC,LED not flashing
6914,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1397,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-7.2,~,~,~,~,~,without FADC,LED not flashing
6915,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1390,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-7.5,~,~,~,~,~,without FADC,LED not flashing
6916,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1382,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-7.8,~,~,~,~,~,without FADC,LED not flashing
6917,MO bottom LED intensity scan: LED not flashing,2011-Jan-24,30s,1410,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO bottom,-8,~,~,~,~,~,without FADC,LED not flashing
6918,MO mid LED intensity scan: LED not flashing,2011-Jan-24,2min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.1,~,~,~,~,~,without FADC,LED not flashing
6919,MO mid LED intensity scan: LED not flashing,2011-Jan-24,2min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.2,~,~,~,~,~,without FADC,LED not flashing
6920,MO mid LED intensity scan: LED not flashing,2011-Jan-24,2min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.3,~,~,~,~,~,without FADC,LED not flashing
6921,MO mid LED intensity scan: LED not flashing,2011-Jan-24,2min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.4,~,~,~,~,~,without FADC,LED not flashing
6922,MO mid LED intensity scan: LED not flashing,2011-Jan-24,2min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.5,~,~,~,~,~,without FADC,LED not flashing
6923,MO mid LED intensity scan: LED not flashing,2011-Jan-24,1min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.7,~,~,~,~,~,without FADC,LED not flashing
6924,MO mid LED intensity scan: LED not flashing,2011-Jan-24,1min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.7,~,~,~,~,~,without FADC,LED not flashing
6925,MO mid LED intensity scan: LED not flashing,2011-Jan-24,1min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.8,~,~,~,~,~,without FADC,LED not flashing
6926,MO mid LED intensity scan: LED not flashing,2011-Jan-24,1min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.9,~,~,~,~,~,without FADC,LED not flashing
6927,MO mid LED intensity scan: LED not flashing,2011-Jan-24,1min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-5,~,~,~,~,~,without FADC,LED not flashing
6928,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-5.1,~,~,~,~,~,without FADC,LED not flashing
6929,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-5.2,~,~,~,~,~,without FADC,LED not flashing
6930,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-5.3,~,~,~,~,~,without FADC,LED not flashing
6931,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-5.4,~,~,~,~,~,without FADC,LED not flashing
6932,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-5.5,~,~,~,~,~,without FADC,LED not flashing
6933,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-5.6,~,~,~,~,~,without FADC,LED not flashing
6934,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-5.8,~,~,~,~,~,without FADC,LED not flashing
6935,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-6,~,~,~,~,~,without FADC,LED not flashing
6936,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-6.2,~,~,~,~,~,without FADC,LED not flashing
6937,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-6.4,~,~,~,~,~,without FADC,LED not flashing
6938,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-6.6,~,~,~,~,~,without FADC,LED not flashing
6939,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1320,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-6.8,~,~,~,~,~,without FADC,LED not flashing
6940,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1340,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-7,~,~,~,~,~,without FADC,LED not flashing
6941,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1360,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-7.2,~,~,~,~,~,without FADC,LED not flashing
6942,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1380,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-7.5,~,~,~,~,~,without FADC,LED not flashing
6943,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1400,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-7.8,~,~,~,~,~,without FADC,LED not flashing
6944,MO mid LED intensity scan: LED not flashing,2011-Jan-24,30s,1410,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-8,~,~,~,~,~,without FADC,LED not flashing
6945,"dark AD, total Esum latency test",2011-Jan-24,,860,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,~,~,~,~,~,~,~,~,without FADC,total Esum latency:1250ns
6946,"dark AD, total Esum latency test",2011-Jan-24,,860,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,~,~,~,~,~,~,~,~,without FADC,total Esum latency:1100ns
6947,LED test,2011-Jan-24,,1500,physics,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,100,MO mid,-4.5,~,~,~,~,~,without FADC,
6948,LED test,2011-Jan-24,,1560,physics,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,100,MO mid,-5,~,~,~,~,~,without FADC,
6949,LED test,2011-Jan-24,,?,physics,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,100,MO mid,-5,~,~,~,~,~,without FADC,"decoupler(decoupler#1, channel#2) used for L3C1R2 dead, can't provide the working HV; test L3C1R2 with  decoupler #1 channel 1 (the neigbor channel) the PMT works fine; then move L3C1R2 to 2inch decoupler channel 9 (1-Ta);"
6950,LED test,2011-Jan-24,,? ,physics,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,100,MO mid,-5,~,~,~,~,~,without FADC,"decoupler(decoupler#1, channel#2) used for L3C1R2 dead, can't provide the working HV; test L3C1R2 with  decoupler #1 channel 1 (the neigbor channel) the PMT works fine; then move L3C1R2 to 2inch decoupler channel 9 (1-Ta);"
6951,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,2min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.1,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
6952,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,2min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.2,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
6953,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,2min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.3,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
6954,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,2min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.4,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
6955,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,2min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.5,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
6956,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,1min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.7,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
